,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
br BRA,GK,30-235,37,37,"3,330",37.0,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,0,3,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
eg EGY,FW,30-344,37,36,"3,200",35.6,19,11,30,17,2,4,2,0,20.4,17.3,7.5,24.8,111,144,402,0.53,0.31,0.84,0.48,0.79,0.57,0.21,0.79,0.49,0.70,Matches
eng ENG,DF,24-230,36,33,"2,833",31.5,2,8,10,2,0,0,5,0,2.2,2.2,10.1,12.3,41,223,131,0.06,0.25,0.32,0.06,0.32,0.07,0.32,0.39,0.07,0.39,Matches
nl NED,DF,31-321,32,32,"2,835",31.5,3,1,4,3,0,0,3,0,2.6,2.6,1.2,3.8,10,127,8,0.10,0.03,0.13,0.10,0.13,0.08,0.04,0.12,0.08,0.12,Matches
br BRA,MF,29-214,35,30,"2,615",29.1,0,1,1,0,0,0,11,0,0.7,0.7,1.9,2.6,15,153,38,0.00,0.03,0.03,0.00,0.03,0.02,0.07,0.09,0.02,0.09,Matches
sct SCO,DF,29-075,34,29,"2,583",28.7,0,8,8,0,0,0,3,0,1.3,1.3,6.1,7.4,80,166,194,0.00,0.28,0.28,0.00,0.28,0.05,0.21,0.26,0.05,0.26,Matches
eng ENG,MF,32-342,34,23,"2,040",22.7,0,2,2,0,0,0,2,0,1.3,1.3,3.0,4.3,37,181,88,0.00,0.09,0.09,0.00,0.09,0.06,0.13,0.19,0.06,0.19,Matches
uy URU,FW,23-335,29,19,"1,695",18.8,9,3,12,9,0,0,1,1,12.1,12.1,5.4,17.5,61,29,181,0.48,0.16,0.64,0.48,0.64,0.64,0.28,0.93,0.64,0.93,Matches
eng ENG,"MF,FW",20-051,31,18,"1,579",17.5,1,2,3,1,0,0,1,0,2.0,2.0,3.3,5.3,50,132,125,0.06,0.11,0.17,0.06,0.17,0.11,0.19,0.30,0.11,0.30,Matches
fr FRA,DF,24-000,18,17,"1,552",17.2,0,0,0,0,0,0,5,0,1.2,1.2,0.1,1.4,7,56,5,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
nl NED,"FW,MF",24-018,20,17,"1,424",15.8,6,2,8,6,0,0,0,0,5.2,5.2,2.5,7.6,36,47,107,0.38,0.13,0.51,0.38,0.51,0.33,0.16,0.48,0.33,0.48,Matches
eng ENG,DF,26-002,20,14,"1,376",15.3,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.3,15,103,4,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
es ESP,MF,32-044,18,14,"1,254",13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches
br BRA,"FW,MF",31-235,24,12,"1,157",12.9,10,4,14,10,0,0,0,0,5.2,5.2,2.3,7.5,13,76,90,0.78,0.31,1.09,0.78,1.09,0.41,0.18,0.59,0.41,0.59,Matches
